"crime_year","council_district","highest_offense_description","clearance_status","total_crimes"
"2003",1,"AGG ASLT W/MOTOR VEH FAM/DAT V","Cleared","1"
"2003",1,"AGG ASLT W/MOTOR VEH FAM/DAT V","Uncleared","1"
"2003",1,"AGG ASSAULT","Cleared","82"
"2003",1,"AGG ASSAULT","Uncleared","19"
"2003",1,"AGG ASSAULT FAM/DATE VIOLENCE","Cleared","81"
"2003",1,"AGG ASSAULT FAM/DATE VIOLENCE","Uncleared","9"
"2003",1,"AGG ASSAULT ON PUBLIC SERVANT","Cleared","3"
"2003",1,"AGG ASSAULT WITH MOTOR VEH","Cleared","14"
"2003",1,"AGG ASSAULT WITH MOTOR VEH","Uncleared","2"
"2003",1,"AGG FORCED SODOMY","Cleared","2"
"2003",1,"AGG FORCED SODOMY OF CHILD","Cleared","5"
"2003",1,"AGG RAPE","Cleared","2"
"2003",1,"AGG RAPE OF A CHILD","Cleared","5"
"2003",1,"AGG ROBBERY BY ASSAULT","Cleared","5"
"2003",1,"AGG ROBBERY BY ASSAULT","Uncleared","1"
"2003",1,"AGG ROBBERY/DEADLY WEAPON","Cleared","49"
"2003",1,"AGG ROBBERY/DEADLY WEAPON","Uncleared","20"
"2003",1,"AGG SEXUAL ASSAULT CHILD/OBJEC","Cleared","9"
"2003",1,"AGG SEXUAL ASSAULT W OBJECT","Cleared","3"
"2003",1,"AMPLIFIED MUSIC / VEHICLE","Cleared","1"
"2003",1,"AMPLIFIED MUSIC / VEHICLE","Uncleared","1"
"2003",1,"APPLIC TO REVOKE PROBATION","Cleared","2"
"2003",1,"APPLIC TO REVOKE PROBATION","Uncleared","1"
"2003",1,"ARSON","Cleared","16"
"2003",1,"ARSON","Uncleared","4"
"2003",1,"ARSON WITH BODILY INJURY","Cleared","1"
"2003",1,"ASSAULT BY CONTACT","Cleared","79"
"2003",1,"ASSAULT BY CONTACT","Uncleared","26"
"2003",1,"ASSAULT BY CONTACT FAM/DATING","Cleared","94"
"2003",1,"ASSAULT BY CONTACT FAM/DATING","Uncleared","8"
"2003",1,"ASSAULT BY THREAT","Cleared","105"
"2003",1,"ASSAULT BY THREAT","Uncleared","23"
"2003",1,"ASSAULT BY THREAT FAM/DATING","Cleared","48"
"2003",1,"ASSAULT BY THREAT FAM/DATING","Uncleared","6"
"2003",1,"ASSAULT ON PUBLIC SERVANT","Cleared","13"
"2003",1,"ASSAULT ON PUBLIC SERVANT","Uncleared","3"
"2003",1,"ASSAULT W/INJURY-FAM/DATE VIOL","Cleared","601"
"2003",1,"ASSAULT W/INJURY-FAM/DATE VIOL","Uncleared","63"
"2003",1,"ASSAULT WITH INJURY","Cleared","248"
"2003",1,"ASSAULT WITH INJURY","Uncleared","56"
"2003",1,"ATT ARSON","Cleared","1"
"2003",1,"ATT BURGLARY NON RESIDENCE","Cleared","3"
"2003",1,"ATT BURGLARY NON RESIDENCE","Uncleared","6"
"2003",1,"ATT BURGLARY OF RESIDENCE","Cleared","10"
"2003",1,"ATT BURGLARY OF RESIDENCE","Uncleared","22"
"2003",1,"ATT THEFT","Cleared","5"
"2003",1,"ATT THEFT","Uncleared","6"
"2003",1,"AUTO THEFT","Cleared","151"
"2003",1,"AUTO THEFT","Uncleared","109"
"2003",1,"BOMB THREAT","Cleared","1"
"2003",1,"BOMB THREAT","Uncleared","1"
"2003",1,"BURG OF RES - FAM/DATING ASLT","Cleared","10"
"2003",1,"BURG OF RES - FAM/DATING ASLT","Uncleared","1"
"2003",1,"BURGLARY NON RESIDENCE","Cleared","97"
"2003",1,"BURGLARY NON RESIDENCE","Uncleared","65"
"2003",1,"BURGLARY OF COIN-OP MACHINE","Cleared","6"
"2003",1,"BURGLARY OF COIN-OP MACHINE","Uncleared","10"
"2003",1,"BURGLARY OF RESIDENCE","Cleared","356"
"2003",1,"BURGLARY OF RESIDENCE","Uncleared","267"
"2003",1,"BURGLARY OF VEHICLE","Cleared","497"
"2003",1,"BURGLARY OF VEHICLE","Uncleared","438"
"2003",1,"CAMPING IN PARK","Cleared","1"
"2003",1,"CAMPING IN PARK","Uncleared","4"
"2003",1,"CAPITAL MURDER","Cleared","2"
"2003",1,"CHILD CUSTODY INTERFERE","Cleared","4"
"2003",1,"CHILD ENDANGERMENT- ABANDONMEN","Cleared","11"
"2003",1,"CHILD ENDANGERMENT- ABANDONMEN","Uncleared","4"
"2003",1,"CIVIL DISTURBANCE/DEMO","Cleared","1"
"2003",1,"CIVIL DISTURBANCE/DEMO","Uncleared","8"
"2003",1,"COUNTERFEITING","Cleared","19"
"2003",1,"COUNTERFEITING","Uncleared","2"
"2003",1,"CRASH/FAIL STOP AND RENDER AID","Cleared","10"
"2003",1,"CRASH/FAIL STOP AND RENDER AID","Uncleared","4"
"2003",1,"CRASH/INTOXICATION ASSAULT","Cleared","1"
"2003",1,"CRED CARD ABUSE - OTHER","Cleared","7"
"2003",1,"CRED CARD ABUSE - OTHER","Uncleared","4"
"2003",1,"CRED CARD ABUSE BY FORGERY","Cleared","24"
"2003",1,"CRED CARD ABUSE BY FORGERY","Uncleared","13"
"2003",1,"CRIMES AGAINST ELDERLY","Cleared","1"
"2003",1,"CRIMINAL MISCHIEF","Cleared","510"
"2003",1,"CRIMINAL MISCHIEF","Uncleared","325"
"2003",1,"CRIMINAL MISCHIEF-NO SUSPECT","Uncleared","1"
"2003",1,"CRIMINAL SOLICITATION OF MINOR","Cleared","1"
"2003",1,"CRIMINAL TRESPASS","Cleared","155"
"2003",1,"CRIMINAL TRESPASS","Uncleared","138"
"2003",1,"CRIMINAL TRESPASS/HOTEL","Cleared","2"
"2003",1,"CRIMINAL TRESPASS/TRANSIENT","Cleared","13"
"2003",1,"CRIMINAL TRESPASS/TRANSIENT","Uncleared","10"
"2003",1,"CRUELTY TO ANIMALS","Cleared","34"
"2003",1,"CRUELTY TO ANIMALS","Uncleared","20"
"2003",1,"CUSTODY ARREST TRAFFIC WARR","Cleared","388"
"2003",1,"CUSTODY ARREST TRAFFIC WARR","Uncleared","324"
"2003",1,"DAMAGE CITY PROP","Cleared","24"
"2003",1,"DAMAGE CITY PROP","Uncleared","11"
"2003",1,"DANG DRUG VIOL - OTHER","Uncleared","1"
"2003",1,"DATING DISTURBANCE","Cleared","11"
"2003",1,"DATING DISTURBANCE","Uncleared","1"
"2003",1,"DEADLY CONDUCT","Cleared","11"
